bom_item_id,code,description,category,quantity,uom,unit_cost_usd,supplier_name,spec_doc_id,drawing_id,long_lead_days,planned_need_date,milestone_code
HYD-CR-001,CR-EOT-PWR,Powerhouse EOT crane 200/30 t double girder,Cranes,1,EA,1280000,Konecranes,SPC-CR-001-R2,DRG-CR-001-R2,300,2026-11-01,M07
HYD-CR-002,CR-INT-BRG,Intake bridge crane 50 t single girder,Cranes,1,EA,485000,Demag Cranes,SPC-CR-002-R1,DRG-CR-002-R1,240,2025-12-01,M03
HYD-FP-001,FP-CO2-GEN,Generator high pressure CO2 fire system,Fire Protection,2,SET,148000,HD Fire Protect,SPC-FP-001-R1,DRG-FP-001-R1,180,2027-08-15,M11
HYD-FP-002,FP-DEL-TR,Transformer water deluge skid,Fire Protection,2,SET,72000,HD Fire Protect,,DRG-FP-002-R1,150,2027-05-15,M10
HYD-FP-003,FP-FDA-PNL,Fire detection and alarm system,Fire Protection,1,SYS,128000,Tyco Fire Protection,SPC-FP-003-R1,,180,2027-06-01,
HYD-HV-001,HV-PH-AHU,Powerhouse HVAC AHU and ductwork,HVAC,1,SYS,310000,Voltas,SPC-HV-001-R1,DRG-HV-001-R1,180,2027-04-01,
HYD-HV-002,HV-SG-PAC,Switchgear room precision AC 18 TR,HVAC,2,SET,72000,Blue Star,SPC-HV-002-R1,,150,2027-04-01,
HYD-CV-001,CV-CEM-OPC,OPC 53 grade cement bulk,Civil,28000,T,98,UltraTech Cement,SPC-CV-001-R1,,30,2026-01-15,M04
HYD-CV-002,CV-CEM-PPC,PPC cement bulk,Civil,12000,T,88,Ambuja Cements,SPC-CV-002-R1,,30,2026-01-15,M04
HYD-CV-003,CV-REBAR-550,TMT rebar Fe 550 8 to 32 mm,Civil,6500,T,720,Tata Steel,SPC-CV-003-R1,,60,2026-02-15,M04
HYD-CV-004,CV-STRUCT-ST,Structural steel plates and sections,Civil,2400,T,1180,JSW Steel,SPC-CV-004-R1,DRG-CV-004-R1,90,2026-04-01,M05
HYD-CV-005,CV-FLY-ASH,Class F fly ash bulk,Civil,4800,T,42,ACC Limited,SPC-CV-005-R1,,30,2026-01-15,M04
HYD-CV-006,CV-WP-MEM,Bituminous waterproofing membrane,Civil,12000,M2,18,Fosroc,,,60,2026-03-01,M04
